ID,Sender,Recipient,Subject,Content,Priority,Date,Time
1,howard@gmail.com,jeremy@gmail.com,Meeting Reminder,Please remember our meeting tomorrow at 10 AM.,2,10/15/2024,9:00
2,jason@gmail.com,rob@gmail.com,Discount Offer,You’re eligible for a 20% discount on your next purchase.,1,9/22/2024,10:30
3,darren@gmail.com,eric@gmail.com,Job Application,Thank you for applying to our company. We’ll be in touch soon.,3,8/30/2024,14:15
4,johnny@gmail.com,dckk@gmail.com,Invoice for Services,Attached is the invoice for services rendered last month.,2,11/2/2024,16:20
5,jeremy@gmail.com,hew@gmail.com,Congratulations!,You’ve won a prize! Click here to claim it.,1,7/18/2024,11:45
6,rob@gmail.com,tiew@gmail.com,Project Update,The project is progressing on schedule. Let me know if you need any more info.,3,6/25/2024,13:10
7,eric@gmail.com,howard@gmail.com,Schedule Meeting,Can we schedule a meeting for next week?,2,5/12/2024,9:50
8,dckk@gmail.com,jason@gmail.com,Special Offer,Get a free gift on your next purchase! Don’t miss out.,1,4/5/2024,15:30
9,hew@gmail.com,darren@gmail.com,Networking Event,You’re invited to our upcoming networking event.,3,3/19/2024,18:20
10,tiew@gmail.com,johnny@gmail.com,Account Security Alert,We’ve detected unusual activity in your account. Please verify your login.,1,2/8/2024,17:40
